bs_id,bs_technology,bs_fc,bs_operator,bs_lat,bs_long,bs_power
bs_mno_2_gsm_1697,gsm,900,mno_2,52.29,-8.1237,40
bs_mno_2_gsm_1692,gsm,900,mno_2,53.104,-8.1556,40
bs_mno_2_gsm_1709,gsm,900,mno_2,53.272,-8.0428,40
bs_mno_2_gsm_1704,gsm,900,mno_2,51.915,-8.0687,40
bs_mno_2_gsm_1708,gsm,900,mno_2,54.047,-8.0446,40
bs_mno_2_gsm_1649,gsm,900,mno_2,54.957,-8.3616,40
bs_mno_2_gsm_1654,gsm,900,mno_2,54.815,-8.3182,40
bs_mno_2_gsm_1683,gsm,900,mno_2,54.66,-8.1904,40
bs_mno_2_gsm_1710,gsm,900,mno_2,51.95,-8.0189,40
bs_mno_2_gsm_1705,gsm,900,mno_2,53.729,-8.0676,40
bs_mno_2_gsm_1707,gsm,900,mno_2,52.561,-8.0519,40
bs_mno_2_gsm_1686,gsm,900,mno_2,55.138,-8.177,40
bs_mno_2_gsm_1711,gsm,900,mno_2,53.376,-8.0185,40
bs_mno_2_gsm_1714,gsm,900,mno_2,53.405,-7.9972,40
bs_mno_2_gsm_1718,gsm,900,mno_2,53.427,-7.9814,40
bs_mno_2_gsm_1712,gsm,900,mno_2,52.841,-8.0164,40
bs_mno_2_gsm_1717,gsm,900,mno_2,52.746,-7.9822,40
bs_mno_2_gsm_1719,gsm,900,mno_2,53.677,-7.9562,40
bs_mno_2_gsm_1713,gsm,900,mno_2,53.939,-8.0071,40
bs_mno_2_gsm_1715,gsm,900,mno_2,53.205,-7.9968,40
bs_mno_2_gsm_1716,gsm,900,mno_2,52.262,-7.9887,40
bs_mno_2_gsm_1726,gsm,900,mno_2,52.107,-7.9217,40
bs_mno_2_gsm_1720,gsm,900,mno_2,52.872,-7.944,40
bs_mno_2_gsm_1725,gsm,900,mno_2,52.392,-7.9297,40
bs_mno_2_gsm_1729,gsm,900,mno_2,52.377,-7.919,40
bs_mno_2_gsm_1727,gsm,900,mno_2,52.427,-7.9208,40
bs_mno_2_gsm_1737,gsm,900,mno_2,53.166,-7.8894,40
bs_mno_2_gsm_1742,gsm,900,mno_2,53.233,-7.8706,40
bs_mno_2_gsm_1744,gsm,900,mno_2,53.264,-7.8665,40
bs_mno_2_gsm_1722,gsm,900,mno_2,54.72,-7.9394,40
bs_mno_2_gsm_1741,gsm,900,mno_2,52.643,-7.8729,40
bs_mno_2_gsm_1747,gsm,900,mno_2,52.546,-7.8466,40
bs_mno_2_gsm_1731,gsm,900,mno_2,53.093,-7.9119,40
bs_mno_2_gsm_1745,gsm,900,mno_2,53.483,-7.8645,40
bs_mno_2_gsm_1733,gsm,900,mno_2,52.834,-7.9108,40
bs_mno_2_gsm_1736,gsm,900,mno_2,52.989,-7.8943,40
bs_mno_2_gsm_1748,gsm,900,mno_2,52.828,-7.8365,40
bs_mno_2_gsm_1749,gsm,900,mno_2,52.797,-7.8328,40
bs_mno_2_gsm_1728,gsm,900,mno_2,54.272,-7.9193,40
bs_mno_2_gsm_1734,gsm,900,mno_2,53.815,-7.8994,40
bs_mno_2_gsm_1730,gsm,900,mno_2,54.126,-7.9136,40
bs_mno_2_gsm_1740,gsm,900,mno_2,54.292,-7.8752,40
bs_mno_2_gsm_1751,gsm,900,mno_2,53.373,-7.8218,40
bs_mno_2_gsm_1753,gsm,900,mno_2,54.174,-7.8147,40
bs_mno_2_gsm_1759,gsm,900,mno_2,53.546,-7.7884,40
bs_mno_2_gsm_1739,gsm,900,mno_2,51.945,-7.8774,40
bs_mno_2_gsm_1746,gsm,900,mno_2,51.949,-7.8509,40
bs_mno_2_gsm_1750,gsm,900,mno_2,51.953,-7.8259,40
bs_mno_2_gsm_1758,gsm,900,mno_2,52.95,-7.7943,40
bs_mno_2_gsm_1762,gsm,900,mno_2,53.406,-7.7552,40
bs_mno_2_gsm_1764,gsm,900,mno_2,52.036,-7.7457,40
bs_mno_2_gsm_1767,gsm,900,mno_2,53.659,-7.7268,40
bs_mno_2_gsm_1769,gsm,900,mno_2,53.807,-7.7145,40
bs_mno_2_gsm_1772,gsm,900,mno_2,52.452,-7.6931,40
bs_mno_2_gsm_1773,gsm,900,mno_2,53.166,-7.6911,40
bs_mno_2_gsm_1775,gsm,900,mno_2,53.397,-7.6555,40
bs_mno_2_gsm_1768,gsm,900,mno_2,52.964,-7.7187,40
bs_mno_2_gsm_1771,gsm,900,mno_2,52.342,-7.6931,40
bs_mno_2_gsm_1781,gsm,900,mno_2,53.348,-7.6124,40
bs_mno_2_gsm_1782,gsm,900,mno_2,53.699,-7.6092,40
bs_mno_2_gsm_1778,gsm,900,mno_2,52.939,-7.6274,40
bs_mno_2_gsm_1784,gsm,900,mno_2,52.857,-7.6018,40
bs_mno_2_gsm_1785,gsm,900,mno_2,52.899,-7.6017,40
bs_mno_2_gsm_1787,gsm,900,mno_2,52.923,-7.5909,40
bs_mno_2_gsm_1763,gsm,900,mno_2,54.791,-7.7495,40
bs_mno_2_gsm_1776,gsm,900,mno_2,54.891,-7.6335,40
bs_mno_2_gsm_1757,gsm,900,mno_2,55.048,-7.7957,40
bs_mno_2_gsm_1788,gsm,900,mno_2,52.347,-7.5856,40
bs_mno_2_gsm_1780,gsm,900,mno_2,52.609,-7.6233,40
bs_mno_2_gsm_1777,gsm,900,mno_2,52.092,-7.6312,40
bs_mno_2_gsm_1779,gsm,900,mno_2,52.042,-7.6243,40
bs_mno_2_gsm_1792,gsm,900,mno_2,52.148,-7.5476,40
bs_mno_2_gsm_1783,gsm,900,mno_2,54.135,-7.6056,40
bs_mno_2_gsm_1793,gsm,900,mno_2,54.03,-7.5476,40
bs_mno_2_gsm_1786,gsm,900,mno_2,53.097,-7.5914,40
bs_mno_2_gsm_1789,gsm,900,mno_2,53.252,-7.5752,40
bs_mno_2_gsm_1794,gsm,900,mno_2,53.773,-7.5224,40
bs_mno_2_gsm_1795,gsm,900,mno_2,52.96,-7.5212,40
bs_mno_2_gsm_1790,gsm,900,mno_2,53.388,-7.563,40
bs_mno_2_gsm_1796,gsm,900,mno_2,53.32,-7.5174,40
bs_mno_2_gsm_1797,gsm,900,mno_2,53.287,-7.5119,40
bs_mno_2_gsm_1799,gsm,900,mno_2,53.375,-7.5053,40
